ID	PRIMER	BARCODE	ERROR
SRR1383456.87	IGHV_36		0.0
SRR1383456.149	IGHV_37		0.25
SRR1383456.204	IGHV_28		0.04166666666666663
SRR1383456.206	IGHV_13		0.0
SRR1383456.230	IGHV_2		0.0
SRR1383456.242	IGHV_10		0.0
SRR1383456.152	IGHV_17		0.0
SRR1383456.354	IGHV_32		0.0
SRR1383456.373	IGHV_17		0.0
SRR1383456.290	IGHV_6		0.0
SRR1383456.257	IGHV_13		0.08333333333333337
SRR1383456.244	IGHV_14		0.0
SRR1383456.317	IGHV_3		0.0
SRR1383456.327	IGHV_3		0.7307692307692308
SRR1383456.360	IGHV_20		0.7083333333333333
SRR1383456.385	IGHV_36		0.08333333333333337
SRR1383456.401	IGHV_16		0.0
SRR1383456.409	IGHV_2		0.0
SRR1383456.472	IGHV_44		0.0
SRR1383456.454	IGHV_43		0.6923076923076923
SRR1383456.594	IGHV_43		0.6538461538461539
SRR1383456.619	IGHV_44		0.0
SRR1383456.589	IGHV_42		0.04347826086956519
SRR1383456.546	IGHV_6		0.0
SRR1383456.577	IGHV_10		0.04347826086956519
SRR1383456.478	IGHV_21		0.0
SRR1383456.508	IGHV_2		0.0
SRR1383456.701	IGHV_37		0.0
SRR1383456.818	IGHV_32		0.17391304347826086
SRR1383456.739	IGHV_21		0.04166666666666663
SRR1383456.775	IGHV_2		0.0
SRR1383456.522	IGHV_2		0.0
SRR1383456.723	IGHV_9		0.0
SRR1383456.833	IGHV_2		0.0
SRR1383456.874	IGHV_3		0.0
SRR1383456.695	IGHV_30		0.17391304347826086
SRR1383456.744	IGHV_44		0.0
SRR1383456.963	IGHV_2		0.0
SRR1383456.933	IGHV_7		0.0
SRR1383456.816	IGHV_14		0.0
SRR1383456.975	IGHV_44		0.0
SRR1383456.1119	IGHV_14		0.0
SRR1383456.1264	IGHV_14		0.13636363636363635
SRR1383456.1181	IGHV_3		0.0
SRR1383456.926	IGHV_45		0.07999999999999996
SRR1383456.986	IGHV_2		0.0
SRR1383456.1021	IGHV_21		0.0
SRR1383456.1202	IGHV_17		0.2857142857142857
SRR1383456.1164	IGHV_10		0.0
SRR1383456.1099	IGHV_2		0.0
SRR1383456.1225	IGHV_33		0.0
SRR1383456.758	IGHV_15		0.0
SRR1383456.1044	IGHV_40		0.04166666666666663
SRR1383456.1278	IGHV_2		0.0
SRR1383456.1288	IGHV_2		0.0
SRR1383456.1229	IGHV_44		0.0
SRR1383456.1330	IGHV_14		0.0
SRR1383456.1477	IGHV_2		0.0
SRR1383456.1437	IGHV_2		0.04347826086956519
SRR1383456.1337	IGHV_2		0.04347826086956519
SRR1383456.1358	IGHV_38		0.19047619047619047
SRR1383456.1476	IGHV_2		0.0
SRR1383456.1521	IGHV_44		0.0
SRR1383456.1525	IGHV_28		0.04166666666666663
SRR1383456.1616	IGHV_2		0.04347826086956519
SRR1383456.1492	IGHV_3		0.5
SRR1383456.1613	IGHV_2		0.0
SRR1383456.1604	IGHV_2		0.0
SRR1383456.1692	IGHV_3		0.34615384615384615
SRR1383456.1756	IGHV_10		0.0
SRR1383456.1700	IGHV_36		0.0
SRR1383456.1667	IGHV_28		0.0
SRR1383456.1759	IGHV_32		0.0
SRR1383456.1599	IGHV_2		0.0
SRR1383456.1655	IGHV_37		0.35
SRR1383456.1922	IGHV_7		0.0
SRR1383456.1936	IGHV_2		0.0
